Verb	Verb	5042728
	Verbs	192
	Verb	14
	Verb	14
	verb	10
	Vetb	3
	Averb	1
	Verb	1
Noun	Noun	4159938
	Noun	286
	Noun	269
	Nouns	184
	noun	25
	Noun	9
	Nooun	2
	Non	1
	None	1
	Noun	1
	Noun	1
	Nounm	1
	Nun	1
	Nuon	1
Pronunciation	Pronunciation	2333904
	Pronunciation	6925
	Pronunciation	6906
	Pronunciation	661
	Pronunciation	199
	Pronunciation	71
	Pronunciation	26
	Pronunctiation	21
	Pronuciation	17
	Pronunciations	14
	Pronunication	14
	Pronuncation	13
	Pronunciaiton	10
	Pronunciation	10
	Pronciation	7
	Prounciation	7
	Pronuncaition	5
	Pronūnciation	5
	Pronuncuation	5
	Pronuniation	5
	Proninciation	4
	Pronunciaton	4
	Pronunciation	2
	Pronunciation	2
	Pronuntiation	2
	Pornunciation	1
	Prinunciation	1
	Prnunciation	1
	Promunciation	1
	Pronhnciation	1
	Pronnunciation	1
	Prononciation	1
	Pronucniation	1
	Pronunciaition	1
	Pronunciatin	1
	pronunciation	1
	Pronunciation	1
	Pronunciation	1
	Pronunciationn	1
	Pronunciationr	1
	Pronunciatioon	1
	Pronunciaton	1
	Pronunciaton	1
	Pronunciatoon	1
	Pronunciayion	1
	Pronuncistion	1
	Pronunciztion	1
	Pronuncoation	1
	Pronunction	1
	Pronynciation	1
	Proununciation	1
	Prronunciation	1
Etymology	Etymology	1913136
	Etymology	95760
	Etymology	95727
	Etymology	16002
	Etymology	4098
	Etymology	1361
	Etymology	504
	Etymology	228
	Etymology	127
	Etymology	61
	Etymology	29
	Etymology	20
	Etymolgy	17
	Etymlogy	16
	Etymologi	16
	Ethymology	12
	Etmology	10
	Etymology	9
	Etymology	9
	Etymology	9
	Etmyology	8
	Etymology	8
	Etymoloy	8
	Etymology	7
	Etymology	7
	Eymology	7
	Etymolog	6
	Etymoogy	6
	Etimology	4
	Etymology	4
	Etmymology	3
	Etymolgoy	2
	Etymologie	2
	Etymolology	2
	Etyology	2
	Ertymology	1
	Erymology	1
	Etmology	1
	Etmology	1
	Etmology	1
	Etumology	1
	Etxmology	1
	Etylmology	1
	Etylology	1
	Etymlolgy	1
	Etymmology	1
	Etymnology	1
	Etymogoly	1
	Etymogoly	1
	Etymogoly	1
	Etymologgy	1
	etymology	1
	Etymology	1
	EtymologY	1
	ٍEtymology	1
	Etymology	1
	Etymology	1
	Etymology	1
	Etymology	1
	Etymology	1
	Etymology	1
	Etymology	1
	Etymology	1
	Etymology	1
	Etymology	1
	Etymology	1
	Etymology	1
	Etymology	1
	Etymologym	1
	Etymololgy	1
	Etymolopgy	1
	Etymonology	1
	Etymyology	1
	Etynology	1
	Etyomology	1
Adjective	Adjective	1519947
	Adjectives	103
	Adejctive	5
	Adjecitive	5
	Ajective	5
	Adjetive	4
	Adjdctive	2
	Adjectice	1
	Adjectival	1
	adjective	1
	Adjective	1
	Adjective	1
	Adjectivev	1
	Adjectivie	1
	Adjectivue	1
	Adjectve	1
	Adjektiv	1
	Adjektive	1
Declension	Declension	742119
	Declension	7
	Declnsion	7
	Declesion	6
	Desclension	6
	Declension	5
	Declēnsion	4
	Decension	3
	Declension	3
	Declesnion	3
	Decöension	3
	Declension	2
	Declension	2
	Declention	2
	Declesnsion	2
	Deckension	1
	Decleension	1
